1、把需要爬取的频道简称写入到channelname.txt文件中，一行写一个频道简称，如：
CCTV1
HNWS
GDWS
2、频道名称和简称对照表
CCTV-1综合                  CCTV1
CCTV-2财经                  CCTV2
CCTV-3综艺                  CCTV3
CCTV-4国际                  CCTV4
CCTV-5体育                  CCTV5
CCTV5+                        CCTV5+
CCTV-6电影                  CCTV6
CCTV-7军事                  CCTV7
CCTV-8电视剧               CCTV8
CCTV-9记录                  CCTV9
CCTV-10科教                CCTV10
CCTV-11戏曲                CCTV11
CCTV-12法制                CCTV12
CCTV-13新闻                CCTV13
CCTV-14少儿                CCTV14
CCTV-15音乐                CCTV15 
安徽卫视                        AHTV
北京卫视                        BTV
广东卫视                        GDTV
深圳卫视                        SZTV
广西卫视                        GXTV
湖南卫视                        HNTV
江苏卫视                        JSTV
